"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SPICEPREFIX";"VALUE";
"1";"";"CONN_08"";"1X08";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-08438";"";"";
"2";"";"LED0603";"LED-0603";"D1, D2";"LED (Generic)";"";"";"";"";"";"";"";"";"";
"2";"";"R-EU_R0603";"R0603";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";"";
"4";"0.1uf";"C-EUC0603";"C0603";"C3, C4, C5, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"1";"10118193-0001LF";"10118193-0001LF";"FCI_10118193-0001LF";"P1";"Micro USB B Type Receptacle";"Unavailable";" Conn Micro USB Type B RCP 5 POS 0.65mm Solder RA SMD 5 Terminal 1 Port T/R ";"Amphenol FCI";"10118193-0001LF";"None";"None";"";"";"";
"2";"10uf";"C-EUC0805";"C0805";"C2, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"1";"120";"FERRITE_BEAD-0603";"0603";"FB1";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"NDUC-13805";"";"30Ω/1.8A";
"2";"15pf";"C-EUC0603";"C0603";"C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"2";"1uf";"C-EUC0805";"C0805";"C1, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"1";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"Y1";"32.768kHz Crystal";"";"";"";"";"";"";"XTAL-13062";"";"32.768kHz";
"1";"ATSAMD21G-A";"ATSAMD21G-A";"TQFP-48";"U1";"Atmel SAMD21G SMART ARM-Based Microcontroller";"";"";"";"";"";"";"IC-13064";"";"";
"2";"HEADER_16X1";"HEADER_16X1";"HDRV16W64P254_1X16_4064X254X900B_NO_SILK";"U$1, U$2";"";"";"";"";"";"";"";"";"";"";
"1";"KXT3_LOWPROFILE_SMDSWITCH";"KXT3_LOWPROFILE_SMDSWITCH";"KXT3_SMD_SWITCH";"SW1";"";"";"";"";"";"";"";"";"";"";
"1";"TLV1117LV33DCYT";"TLV1117LV33DCYT";"SOT223";"REG1";"";"";"";"";"";"";"";"";"";"";
